ProteinID	Gene
AQP4+AF8-HUMAN	AQP4
AQP5+AF8-HUMAN	AQP5
AQP8+AF8-HUMAN	AQP8
AQP9+AF8-HUMAN	AQP9
ARAID+AF8-HUMAN	ATRAID
AREG+AF8-HUMAN	AREG
ASGR1+AF8-HUMAN	ASGR1
ASGR2+AF8-HUMAN	ASGR2
ASIC1+AF8-HUMAN	ASIC1
ASIC4+AF8-HUMAN	ASIC4
ASIC5+AF8-HUMAN	ASIC5
ASTN1+AF8-HUMAN	ASTN1
ASTN2+AF8-HUMAN	ASTN2
AT131+AF8-HUMAN	ATP13A1
AT132+AF8-HUMAN	ATP13A2
AT133+AF8-HUMAN	ATP13A3
AT135+AF8-HUMAN	ATP13A5
AT1A1+AF8-HUMAN	ATP1A1
AT1A2+AF8-HUMAN	ATP1A2
AT1A3+AF8-HUMAN	ATP1A3
AT1A4+AF8-HUMAN	ATP1A4
AT1B1+AF8-HUMAN	ATP1B1
AT1B2+AF8-HUMAN	ATP1B2
AT1B3+AF8-HUMAN	ATP1B3
AT1B4+AF8-HUMAN	ATP1B4
AT2B2+AF8-HUMAN	ATP2B2
AT2B3+AF8-HUMAN	ATP2B3
AT2B4+AF8-HUMAN	ATP2B4
ATG9A+AF8-HUMAN	ATG9A
ATP4B+AF8-HUMAN	ATP4B
ATRN1+AF8-HUMAN	ATRNL1
ATRN+AF8-HUMAN	ATRN
AVR2A+AF8-HUMAN	ACVR2A
AVR2B+AF8-HUMAN	ACVR2B
B3AT+AF8-HUMAN	SLC4A1
BACE1+AF8-HUMAN	BACE1
BACE2+AF8-HUMAN	BACE2
BAMBI+AF8-HUMAN	BAMBI
BASI+AF8-HUMAN	BSG
BAT1+AF8-HUMAN	SLC7A9
BCAM+AF8-HUMAN	BCAM
BEST2+AF8-HUMAN	BEST2
BEST4+AF8-HUMAN	BEST4
BKRB1+AF8-HUMAN	BDKRB1
BKRB2+AF8-HUMAN	BDKRB2
BMPR2+AF8-HUMAN	BMPR2
BMR1A+AF8-HUMAN	BMPR1A
BOC+AF8-HUMAN	BOC
BRS3+AF8-HUMAN	BRS3
BST1+AF8-HUMAN	BST1
BST2+AF8-HUMAN	BST2
BT1A1+AF8-HUMAN	BTN1A1
BT2A1+AF8-HUMAN	BTN2A1
BT2A2+AF8-HUMAN	BTN2A2
BT2A3+AF8-HUMAN	BTN2A3P
BT3A1+AF8-HUMAN	BTN3A1
BT3A2+AF8-HUMAN	BTN3A2
BT3A3+AF8-HUMAN	BTN3A3
BTC+AF8-HUMAN	BTC
BTLA+AF8-HUMAN	BTLA
BTNL3+AF8-HUMAN	BTNL3
BTNL9+AF8-HUMAN	BTNL9
BTNLA+AF8-HUMAN	BTNL10P
BY55+AF8-HUMAN	CD160
C163A+AF8-HUMAN	CD163
C163B+AF8-HUMAN	CD163L1
C16L2+AF8-HUMAN	CD164L2
C1QR1+AF8-HUMAN	CD93
C3AR+AF8-HUMAN	C3AR1
C5AR1+AF8-HUMAN	C5AR1
C5AR2+AF8-HUMAN	C5AR2
CA159+AF8-HUMAN	C1orf159
CAC1C+AF8-HUMAN	CACNA1C
CAC1G+AF8-HUMAN	CACNA1G
CAC1I+AF8-HUMAN	CACNA1I
CAD10+AF8-HUMAN	CDH10
CAD11+AF8-HUMAN	CDH11
CAD12+AF8-HUMAN	CDH12
CAD13+AF8-HUMAN	CDH13
CAD15+AF8-HUMAN	CDH15
CAD16+AF8-HUMAN	CDH16
CAD17+AF8-HUMAN	CDH17
CAD18+AF8-HUMAN	CDH18
CAD19+AF8-HUMAN	CDH19
CAD20+AF8-HUMAN	CDH20
CAD22+AF8-HUMAN	CDH22
CAD23+AF8-HUMAN	CDH23
CAD24+AF8-HUMAN	CDH24
CAD26+AF8-HUMAN	CDH26
CADH1+AF8-HUMAN	CDH1
CADH2+AF8-HUMAN	CDH2
CADH3+AF8-HUMAN	CDH3
